"","bearyear.sampled","Bear.Id","Year","Follicles","Cortisol.kit","year.sampled","year.represent","bearyear.represent","sex","age","reprostatus.represent","CORT_corrected","fFOL"
"1090","W9615_2009","W9615",2009,2,2,2009,2008,"W9615_2008","F",14,"WithCubs",11.17,"2"
"1091","W9615_2011","W9615",2011,2,2,2011,2010,"W9615_2010","F",16,"WithCubs",12.77,"2"
"1092","W9701_1997","W9701",1997,0,1,1997,1996,"W9701_1996","M",1,"WithMother",4.98,"0"
"1093","W9702_1997","W9702",1997,0,1,1997,1996,"W9702_1996","M",1,"WithMother",4.31,"0"
"1094","W9703_1997","W9703",1997,0,1,1997,1996,"W9703_1996","F",1,"WithMother",3.75,"0"
"1095","W9704_1997","W9704",1997,0,1,1997,1996,"W9704_1996","M",1,"WithMother",3.33,"0"
"1096","W9705_1997","W9705",1997,0,1,1997,1996,"W9705_1996","M",1,"WithMother",2.5,"0"
"1097","W9801_1998","W9801",1998,1,1,1998,1997,"W9801_1997","M",1,"WithMother",4.11,"1"
"1098","W9802_1998","W9802",1998,2,1,1998,1997,"W9802_1997","M",15,"SolitaryM",3.38,"2"
"1099","W9803_1998","W9803",1998,2,1,1998,1997,"W9803_1997","F",1,"WithMother",3.65,"2"
"1100","W9804_1998","W9804",1998,2,1,1998,1997,"W9804_1997","F",1,"WithMother",4.18,"2"
"1101","W9804_2001","W9804",2001,2,1,2001,2000,"W9804_2000","F",4,"SolitaryF",4.53,"2"
"1102","W9804_2003","W9804",2003,1,2,2003,2002,"W9804_2002","F",6,"WithCubs",16.2,"1"
"1103","W9804_2005","W9804",2005,2,1,2005,2004,"W9804_2004","F",8,"WithCubs",4.45,"2"
"1104","W9805_1998","W9805",1998,2,1,1998,1997,"W9805_1997","F",1,"WithMother",4.69,"2"
"1106","W9806_1999","W9806",1999,2,1,1999,1998,"W9806_1998","F",3,"SolitaryF",4.53,"2"
"1107","W9806_2000","W9806",2000,2,1,2000,1999,"W9806_1999","F",4,"SolitaryF",9.85,"2"
"1108","W9806_2005","W9806",2005,2,1,2005,2004,"W9806_2004","F",9,"WithCubs",5.18,"2"
"1109","W9806_2007","W9806",2007,2,1,2007,2006,"W9806_2006","F",11,"WithCubs",4.89,"2"
"1110","W9807_1999","W9807",1999,2,1,1999,1998,"W9807_1998","M",11,"SolitaryM",3.25,"2"
"1112","W9808_1998","W9808",1998,1,1,1998,1997,"W9808_1997","F",1,"WithMother",4.65,"1"
"1114","W9809_1998","W9809",1998,0,1,1998,1997,"W9809_1997","M",1,"WithMother",3.81,"0"
"1115","W9811_1998","W9811",1998,2,1,1998,1997,"W9811_1997","M",13,"SolitaryM",2.2,"2"
"1116","W9811_1999","W9811",1999,2,1,1999,1998,"W9811_1998","M",14,"SolitaryM",3.75,"2"
"1118","W9812_1998","W9812",1998,1,1,1998,1997,"W9812_1997","F",1,"WithMother",5.36,"1"
"1119","W9812_1998","W9812",1998,1,1,1998,1997,"W9812_1997","F",1,"WithMother",3.56,"1"
"1120","W9812_1998","W9812",1998,2,1,1998,1997,"W9812_1997","F",1,"WithMother",5.36,"2"
"1121","W9812_1998","W9812",1998,2,1,1998,1997,"W9812_1997","F",1,"WithMother",3.56,"2"
"1122","W9812_2000","W9812",2000,2,1,2000,1999,"W9812_1999","F",3,"SolitaryF",3.86,"2"
"1123","W9813_1998","W9813",1998,1,1,1998,1997,"W9813_1997","M",1,"WithMother",3.98,"1"
"1124","W9814_1998","W9814",1998,1,1,1998,1997,"W9814_1997","F",1,"WithMother",4.23,"1"
"1125","W9814_2001","W9814",2001,2,1,2001,2000,"W9814_2000","F",4,"SolitaryF",4.33,"2"
"1126","W9814_2004","W9814",2004,2,1,2004,2003,"W9814_2003","F",7,"WithCubs",3.81,"2"
"1127","W9814_2007","W9814",2007,2,1,2007,2006,"W9814_2006","F",10,"WithCubs",4.89,"2"
"1128","W9814_2010","W9814",2010,2,2,2010,2009,"W9814_2009","F",13,"WithCubs",16.33,"2"
"1129","W9814_2012","W9814",2012,1,2,2012,2011,"W9814_2011","F",15,"SolitaryF",6.14,"1"
"1130","W9901_1999","W9901",1999,2,1,1999,1998,"W9901_1998","M",6,"SolitaryM",3.15,"2"
"1131","W9902_1999","W9902",1999,2,1,1999,1998,"W9902_1998","F",1,"WithMother",3.24,"2"
"1133","W9903_2005","W9903",2005,0,1,2005,2004,"W9903_2004","F",8,"WithCubs",6.47,"0"
"1135","W9903_2010","W9903",2010,2,2,2010,2009,"W9903_2009","F",13,"WithCubs",13.65,"2"
"1138","W9904_1999","W9904",1999,0,1,1999,1998,"W9904_1998","F",5,"WithCubs",2.85,"0"
"1139","W9905_1999","W9905",1999,2,1,1999,1998,"W9905_1998","F",1,"WithMother",3.01,"2"
"1140","W9907_1999","W9907",1999,2,1,1999,1998,"W9907_1998","M",1,"WithMother",2.68,"2"
"1142","W9908_1999","W9908",1999,2,1,1999,1998,"W9908_1998","F",1,"WithMother",4.13,"2"
"1143","W9908_2000","W9908",2000,2,1,2000,1999,"W9908_1999","F",2,"SolitaryF",3.3,"2"
"1144","W9909_2001","W9909",2001,2,1,2001,2000,"W9909_2000","F",12,"WithCubs",5.29,"2"
"1145","W9909_2003","W9909",2003,2,1,2003,2002,"W9909_2002","F",14,"WithCubs",4.25,"2"
"1146","W9909_2006","W9909",2006,2,1,2006,2005,"W9909_2005","F",17,"WithCubs",3.84,"2"
"1147","W9910_1999","W9910",1999,1,1,1999,1998,"W9910_1998","F",1,"WithMother",4.37,"1"
"1148","W9911_1999","W9911",1999,2,1,1999,1998,"W9911_1998","F",1,"WithMother",4.42,"2"
"1149","W9912_1999","W9912",1999,2,1,1999,1998,"W9912_1998","F",1,"WithMother",4.31,"2"
"1150","W9913_1999","W9913",1999,2,1,1999,1998,"W9913_1998","F",1,"WithMother",4.17,"2"
"1152","W9913_2004","W9913",2004,2,1,2004,2003,"W9913_2003","F",6,"WithCubs",2.7,"2"
"1153","W9913_2006","W9913",2006,2,1,2006,2005,"W9913_2005","F",8,"WithCubs",4.64,"2"
"1154","W9914_1999","W9914",1999,1,1,1999,1998,"W9914_1998","F",1,"WithMother",4.26,"1"
"1156","W9914_2006","W9914",2006,2,1,2006,2005,"W9914_2005","F",8,"WithCubs",3.75,"2"
"1157","W9914_2009","W9914",2009,2,2,2009,2008,"W9914_2008","F",11,"WithCubs",12.28,"2"
"1158","W9914_2013","W9914",2013,2,2,2013,2012,"W9914_2012","F",15,"WithCubs",7.84,"2"
"1159","W9915_1999","W9915",1999,2,1,1999,1998,"W9915_1998","M",1,"WithMother",2.96,"2"
"1160","W9916_1999","W9916",1999,2,1,1999,1998,"W9916_1998","M",5,"SolitaryM",1.79,"2"
"1164","W9917_1999","W9917",1999,1,1,1999,1998,"W9917_1998","M",4,"SolitaryM",3.08,"1"
"1165","W9918_1999","W9918",1999,2,1,1999,1998,"W9918_1998","M",1,"WithMother",3.87,"2"
"1166","W9918_2000","W9918",2000,2,1,2000,1999,"W9918_1999","M",2,"SolitaryM",4.38,"2"
"1167","W9918_2001","W9918",2001,2,1,2001,2000,"W9918_2000","M",3,"SolitaryM",3.43,"2"
"1169","W9919_1999","W9919",1999,2,1,1999,1998,"W9919_1998","F",1,"WithMother",4.24,"2"
